t	in	out	motor
8762.0	69.88	69.37	71.12
8764.0	69.83	69.31	71.02
8766.0	69.77	69.26	70.91
8768.0	69.71	69.21	70.79
8770.0	69.65	69.15	70.66
8772.0	69.59	69.10	70.53
8774.0	69.53	69.05	70.41
8776.0	69.46	68.99	70.29
8778.0	69.40	68.94	70.17
8780.0	69.34	68.88	70.06
8782.0	69.27	68.83	69.95
8784.0	69.21	68.77	69.84
8786.0	69.15	68.71	69.74
8788.0	69.09	68.66	69.65
8790.0	69.02	68.60	69.55
8792.0	68.97	68.54	69.64
8794.0	68.92	68.48	69.73
8796.0	68.88	68.43	69.82
8798.0	68.83	68.37	69.91
8800.0	68.80	68.31	70.01
8802.0	68.76	68.26	70.12
8804.0	68.73	68.20	70.23
8806.0	68.69	68.15	70.33
8808.0	68.66	68.10	70.44
8810.0	68.63	68.05	70.54
8812.0	68.60	68.01	70.63
8814.0	68.57	67.96	70.71
8816.0	68.54	67.92	70.79
8818.0	68.51	67.87	70.85
8820.0	68.47	67.83	70.91
8822.0	68.46	67.79	71.43
8824.0	68.47	67.75	71.99
8826.0	68.49	67.72	72.56
8828.0	68.52	67.68	73.12
8830.0	68.56	67.65	73.65
8832.0	68.60	67.63	74.14
8834.0	68.64	67.61	74.59
8836.0	68.68	67.60	74.99
8838.0	68.72	67.59	75.34
8840.0	68.75	67.58	75.65
8842.0	68.79	67.58	75.92
8844.0	68.82	67.59	76.16
8846.0	68.85	67.59	76.36
8848.0	68.87	67.60	76.53
8850.0	68.90	67.61	76.68
8852.0	68.92	67.62	76.71
8854.0	68.94	67.63	76.71
8856.0	68.95	67.65	76.70
8858.0	68.96	67.66	76.69
8860.0	68.97	67.68	76.67
8862.0	68.98	67.69	76.66
8864.0	68.99	67.71	76.65
8866.0	69.00	67.72	76.64
8868.0	69.01	67.74	76.63
8870.0	69.03	67.75	76.63
8872.0	69.04	67.76	76.63
8874.0	69.05	67.78	76.62
8876.0	69.06	67.79	76.63
8878.0	69.07	67.80	76.63
8880.0	69.08	67.81	76.63
8882.0	69.10	67.83	76.90
8884.0	69.14	67.84	77.29
8886.0	69.18	67.85	77.74
8888.0	69.24	67.87	78.19
8890.0	69.31	67.89	78.63
8892.0	69.38	67.91	79.03
8894.0	69.44	67.93	79.40
8896.0	69.51	67.96	79.73
8898.0	69.58	67.99	80.02
8900.0	69.64	68.02	80.27
8902.0	69.70	68.06	80.50
8904.0	69.76	68.10	80.70
8906.0	69.82	68.14	80.88
8908.0	69.87	68.18	81.03
8910.0	69.93	68.22	81.17
8912.0	69.98	68.27	81.20
8914.0	70.03	68.32	81.18
8916.0	70.07	68.36	81.12
8918.0	70.11	68.41	81.07
8920.0	70.14	68.46	81.01
8922.0	70.17	68.50	80.96
8924.0	70.21	68.55	80.92
8926.0	70.24	68.59	80.89
8928.0	70.27	68.63	80.86
8930.0	70.31	68.68	80.85
8932.0	70.34	68.72	80.84
8934.0	70.38	68.76	80.84
8936.0	70.41	68.80	80.85
8938.0	70.45	68.84	80.86
8940.0	70.49	68.88	80.88
8942.0	70.52	68.92	80.63
8944.0	70.53	68.95	80.37
8946.0	70.54	68.99	80.12
8948.0	70.55	69.03	79.89
8950.0	70.55	69.06	79.68
8952.0	70.56	69.09	79.50
8954.0	70.56	69.12	79.35
8956.0	70.57	69.15	79.22
8958.0	70.57	69.17	79.11
8960.0	70.58	69.19	79.02
8962.0	70.59	69.22	78.94
8964.0	70.60	69.24	78.88
8966.0	70.61	69.26	78.83
8968.0	70.63	69.27	78.79
8970.0	70.64	69.29	78.76
8972.0	70.64	69.31	78.50
8974.0	70.64	69.32	78.12
8976.0	70.61	69.34	77.70
8978.0	70.58	69.35	77.27
8980.0	70.55	69.36	76.86
8982.0	70.50	69.37	76.48
8984.0	70.46	69.37	76.14
8986.0	70.42	69.37	75.82
8988.0	70.38	69.37	75.54
8990.0	70.34	69.36	75.29
8992.0	70.30	69.35	75.07
8994.0	70.27	69.34	74.88
8996.0	70.23	69.32	74.70
8998.0	70.20	69.30	74.55
9000.0	70.17	69.29	74.42
9002.0	70.13	69.26	73.99
9004.0	70.07	69.24	73.55
9006.0	70.01	69.22	73.13
9008.0	69.94	69.19	72.72
9010.0	69.86	69.16	72.34
9012.0	69.79	69.13	71.99
9014.0	69.72	69.09	71.67
9016.0	69.65	69.06	71.38
9018.0	69.58	69.01	71.12
9020.0	69.51	68.97	70.88
9022.0	69.44	68.92	70.66
9024.0	69.37	68.87	70.46
9026.0	69.31	68.82	70.28
9028.0	69.24	68.77	70.11
9030.0	69.18	68.72	69.96
9032.0	69.12	68.66	69.90
9034.0	69.06	68.61	69.85
9036.0	69.00	68.55	69.79
9038.0	68.95	68.50	69.74
9040.0	68.89	68.44	69.68
9042.0	68.84	68.39	69.62
9044.0	68.78	68.33	69.56
9046.0	68.72	68.27	69.50
9048.0	68.67	68.22	69.44
9050.0	68.61	68.16	69.39
9052.0	68.56	68.11	69.33
9054.0	68.50	68.05	69.27
9056.0	68.44	67.99	69.21
9058.0	68.39	67.94	69.15
9060.0	68.33	67.88	69.10
9062.0	68.31	67.83	69.99
9064.0	68.32	67.78	70.91
9066.0	68.37	67.72	71.93
9068.0	68.44	67.68	73.03
9070.0	68.53	67.64	74.16
9072.0	68.64	67.61	75.27
9074.0	68.74	67.59	76.32
9076.0	68.85	67.58	77.29
9078.0	68.96	67.58	78.16
9080.0	69.07	67.59	78.93
9082.0	69.17	67.60	79.60
9084.0	69.26	67.63	80.19
9086.0	69.36	67.66	80.71
9088.0	69.44	67.70	81.15
9090.0	69.53	67.74	81.54
9092.0	69.58	67.79	80.55
9094.0	69.55	67.84	79.32
9096.0	69.48	67.89	78.04
9098.0	69.39	67.94	76.83
9100.0	69.28	67.97	75.71
9102.0	69.17	68.00	74.70
9104.0	69.06	68.02	73.80
9106.0	68.95	68.03	73.01
9108.0	68.85	68.03	72.33
9110.0	68.76	68.01	71.73
9112.0	68.68	67.99	71.22
9114.0	68.60	67.97	70.81
9116.0	68.53	67.94	70.46
9118.0	68.46	67.90	70.16
9120.0	68.39	67.86	69.91
9122.0	68.33	67.82	69.81
9124.0	68.28	67.77	69.73
9126.0	68.23	67.72	69.67
9128.0	68.19	67.67	69.64
9130.0	68.14	67.62	69.63
9132.0	68.10	67.58	69.63
9134.0	68.06	67.53	69.66
9136.0	68.02	67.48	69.70
9138.0	67.98	67.43	69.75
9140.0	67.95	67.39	69.80
9142.0	67.91	67.34	69.86
9144.0	67.88	67.29	69.91
9146.0	67.85	67.25	69.97
9148.0	67.82	67.21	70.02
9150.0	67.79	67.17	70.07
9152.0	67.77	67.12	70.71
9154.0	67.79	67.09	71.53
9156.0	67.84	67.05	72.46
9158.0	67.91	67.02	73.42
9160.0	68.00	66.99	74.37
9162.0	68.09	66.97	75.26
9164.0	68.18	66.96	76.07
9166.0	68.27	66.96	76.79
9168.0	68.36	66.97	77.42
9170.0	68.44	66.98	77.98
9172.0	68.52	67.00	78.46
9174.0	68.60	67.03	78.88
9176.0	68.67	67.06	79.24
9178.0	68.74	67.09	79.55
9180.0	68.80	67.13	79.82
9182.0	68.86	67.17	79.66
9184.0	68.89	67.22	79.38
9186.0	68.90	67.26	79.06
9188.0	68.91	67.31	78.74
9190.0	68.91	67.35	78.44
9192.0	68.90	67.39	78.16
9194.0	68.90	67.43	77.92
9196.0	68.90	67.46	77.71
9198.0	68.90	67.49	77.52
9200.0	68.91	67.52	77.37
9202.0	68.91	67.55	77.24
9204.0	68.92	67.57	77.13
9206.0	68.93	67.59	77.05
9208.0	68.94	67.61	76.97
9210.0	68.95	67.63	76.91
9212.0	68.95	67.65	76.34
9214.0	68.92	67.67	75.60
9216.0	68.86	67.68	74.82
9218.0	68.78	67.69	74.06
9220.0	68.70	67.70	73.35
9222.0	68.62	67.70	72.70
9224.0	68.53	67.69	72.10
9226.0	68.45	67.68	71.57
9228.0	68.37	67.66	71.09
9230.0	68.30	67.63	70.67
9232.0	68.22	67.60	70.30
9234.0	68.15	67.57	69.97
9236.0	68.08	67.53	69.67
9238.0	68.02	67.49	69.41
9240.0	67.95	67.45	69.18
9242.0	67.89	67.40	69.24
9244.0	67.85	67.35	69.32
9246.0	67.81	67.30	69.44
9248.0	67.79	67.25	69.58
9250.0	67.76	67.21	69.75
9252.0	67.74	67.16	69.95
9254.0	67.73	67.11	70.15
9256.0	67.71	67.07	70.36
9258.0	67.70	67.03	70.57
9260.0	67.69	66.99	70.76
9262.0	67.68	66.96	70.94
9264.0	67.67	66.92	71.11
9266.0	67.66	66.89	71.26
9268.0	67.65	66.86	71.39
9270.0	67.64	66.83	71.50
9272.0	67.63	66.81	71.58
9274.0	67.62	66.78	71.66
9276.0	67.61	66.76	71.74
9278.0	67.59	66.74	71.82
9280.0	67.58	66.72	71.88
9282.0	67.57	66.70	71.94
9284.0	67.56	66.68	72.00
9286.0	67.55	66.66	72.04
9288.0	67.54	66.64	72.08
9290.0	67.53	66.63	72.11
9292.0	67.52	66.61	72.14
9294.0	67.51	66.59	72.16
9296.0	67.49	66.58	72.17
9298.0	67.48	66.56	72.18
9300.0	67.47	66.55	72.19
9302.0	67.45	66.54	71.85
9304.0	67.41	66.52	71.41
9306.0	67.35	66.51	70.92
9308.0	67.28	66.49	70.44
9310.0	67.21	66.47	69.98
9312.0	67.13	66.45	69.56
9314.0	67.06	66.42	69.17
9316.0	66.98	66.39	68.81
9318.0	66.91	66.35	68.50
9320.0	66.84	66.31	68.22
9322.0	66.77	66.27	67.98
9324.0	66.71	66.23	67.78
9326.0	66.64	66.18	67.61
9328.0	66.58	66.14	67.45
9330.0	66.52	66.09	67.32
9332.0	66.50	66.04	68.25
9334.0	66.52	65.99	69.25
9336.0	66.58	65.94	70.40
9338.0	66.67	65.90	71.67
9340.0	66.79	65.86	73.01
9342.0	66.91	65.84	74.32
9344.0	67.05	65.82	75.57
9346.0	67.19	65.82	76.70
9348.0	67.32	65.83	77.71
9350.0	67.45	65.85	78.61
9352.0	67.58	65.88	79.39
9354.0	67.70	65.91	80.08
9356.0	67.82	65.96	80.67
9358.0	67.93	66.02	81.18
9360.0	68.04	66.07	81.63
9362.0	68.11	66.14	80.97
9364.0	68.13	66.21	80.13
9366.0	68.11	66.28	79.26
9368.0	68.08	66.34	78.43
9370.0	68.03	66.40	77.66
9372.0	67.99	66.46	76.98
9374.0	67.94	66.50	76.37
9376.0	67.90	66.54	75.85
9378.0	67.87	66.57	75.39
9380.0	67.84	66.60	75.00
9382.0	67.81	66.62	74.66
9384.0	67.79	66.64	74.37
9386.0	67.77	66.65	74.12
9388.0	67.75	66.65	73.92
9390.0	67.74	66.66	73.74
9392.0	67.71	66.66	73.27
9394.0	67.67	66.66	72.73
9396.0	67.62	66.66	72.17
9398.0	67.55	66.65	71.64
9400.0	67.48	66.64	71.13
9402.0	67.41	66.63	70.67
9404.0	67.34	66.61	70.24
9406.0	67.27	66.59	69.85
9408.0	67.21	66.56	69.50
9410.0	67.14	66.53	69.19
9412.0	67.08	66.49	68.91
9414.0	67.01	66.46	68.66
9416.0	66.95	66.42	68.43
9418.0	66.89	66.38	68.22
9420.0	66.83	66.33	68.03
9422.0	66.78	66.29	68.41
9424.0	66.77	66.24	68.90
9426.0	66.78	66.19	69.53
9428.0	66.81	66.15	70.26
9430.0	66.85	66.11	71.03
9432.0	66.91	66.08	71.81
9434.0	66.98	66.05	72.55
9436.0	67.05	66.03	73.23
9438.0	67.11	66.01	73.85
9440.0	67.17	66.00	74.39
9442.0	67.23	66.00	74.87
9444.0	67.29	66.01	75.29
9446.0	67.35	66.02	75.65
9448.0	67.40	66.03	75.97
9450.0	67.44	66.05	76.24
9452.0	67.47	66.07	75.71
9454.0	67.45	66.09	74.92
9456.0	67.40	66.12	74.06
9458.0	67.33	66.14	73.20
9460.0	67.24	66.15	72.39
9462.0	67.15	66.16	71.64
9464.0	67.06	66.17	70.97
9466.0	66.97	66.16	70.36
9468.0	66.89	66.15	69.82
9470.0	66.81	66.13	69.35
9472.0	66.74	66.11	68.93
9474.0	66.66	66.08	68.56
9476.0	66.59	66.04	68.23
9478.0	66.53	66.01	67.94
9480.0	66.46	65.97	67.69
9482.0	66.43	65.92	68.61
9484.0	66.46	65.88	69.58
9486.0	66.52	65.84	70.67
9488.0	66.61	65.80	71.86
9490.0	66.72	65.77	73.10
9492.0	66.84	65.75	74.33
9494.0	66.97	65.73	75.48
9496.0	67.10	65.73	76.54
9498.0	67.23	65.74	77.48
9500.0	67.35	65.76	78.32
9502.0	67.47	65.79	79.06
9504.0	67.59	65.83	79.70
9506.0	67.70	65.87	80.26
9508.0	67.80	65.92	80.75
9510.0	67.90	65.98	81.17
9512.0	67.99	66.04	81.02
9514.0	68.04	66.11	80.78
9516.0	68.08	66.18	80.51
9518.0	68.11	66.25	80.25
9520.0	68.14	66.31	80.01
9522.0	68.16	66.38	79.80
9524.0	68.19	66.44	79.61
9526.0	68.21	66.50	79.46
9528.0	68.24	66.55	79.33
9530.0	68.28	66.60	79.23
9532.0	68.31	66.65	79.15
9534.0	68.34	66.70	79.09
9536.0	68.38	66.75	79.04
9538.0	68.42	66.80	79.01
9540.0	68.45	66.84	78.99
9542.0	68.47	66.89	78.15
9544.0	68.45	66.93	77.18
9546.0	68.39	66.97	76.20
9548.0	68.32	67.00	75.26
9550.0	68.24	67.03	74.39
9552.0	68.15	67.05	73.61
9554.0	68.07	67.06	72.91
9556.0	67.99	67.06	72.28
9558.0	67.91	67.06	71.73
9560.0	67.84	67.05	71.24
9562.0	67.77	67.03	70.81
9564.0	67.70	67.01	70.43
9566.0	67.64	66.98	70.09
9568.0	67.58	66.95	69.79
9570.0	67.51	66.92	69.53
9572.0	67.45	66.88	69.22
9574.0	67.39	66.84	68.92
9576.0	67.32	66.80	68.66
9578.0	67.26	66.76	68.42
9580.0	67.19	66.71	68.20
9582.0	67.12	66.66	68.01
9584.0	67.06	66.61	67.85
9586.0	67.00	66.56	67.70
9588.0	66.93	66.51	67.57
9590.0	66.87	66.46	67.46
9592.0	66.81	66.40	67.35
9594.0	66.75	66.35	67.25
9596.0	66.70	66.30	67.16
9598.0	66.64	66.24	67.07
9600.0	66.58	66.19	66.99
9602.0	66.52	66.13	66.94
9604.0	66.46	66.07	66.88
9606.0	66.41	66.02	66.82
9608.0	66.35	65.96	66.77
9610.0	66.30	65.91	66.71
9612.0	66.24	65.85	66.66
9614.0	66.18	65.79	66.60
9616.0	66.13	65.74	66.55
9618.0	66.07	65.68	66.49
9620.0	66.02	65.63	66.43
9622.0	65.96	65.57	66.38
9624.0	65.91	65.52	66.32
9626.0	65.85	65.46	66.27
9628.0	65.80	65.41	66.21
9630.0	65.74	65.35	66.16
9632.0	65.71	65.30	66.77
9634.0	65.70	65.24	67.41
9636.0	65.72	65.19	68.14
9638.0	65.76	65.14	68.96
9640.0	65.81	65.10	69.84
9642.0	65.88	65.06	70.74
9644.0	65.96	65.04	71.60
9646.0	66.04	65.01	72.41
9648.0	66.12	65.00	73.15
9650.0	66.19	64.99	73.81
9652.0	66.27	65.00	74.39
9654.0	66.34	65.01	74.90
9656.0	66.41	65.02	75.34
9658.0	66.47	65.04	75.73
9660.0	66.54	65.06	76.06
9662.0	66.58	65.09	75.77
9664.0	66.59	65.12	75.30
9666.0	66.58	65.16	74.77
9668.0	66.55	65.19	74.23
9670.0	66.51	65.22	73.72
9672.0	66.47	65.24	73.24
9674.0	66.43	65.26	72.80
9676.0	66.39	65.28	72.41
9678.0	66.35	65.29	72.07
9680.0	66.32	65.30	71.76
9682.0	66.28	65.30	71.49
9684.0	66.25	65.30	71.26
9686.0	66.22	65.29	71.06
9688.0	66.20	65.29	70.88
9690.0	66.17	65.28	70.72
9692.0	66.15	65.27	70.68
9694.0	66.13	65.26	70.69
9696.0	66.12	65.24	70.74
9698.0	66.12	65.23	70.80
9700.0	66.11	65.22	70.88
9702.0	66.11	65.20	70.96
9704.0	66.11	65.19	71.04
9706.0	66.11	65.18	71.12
9708.0	66.11	65.17	71.18
9710.0	66.11	65.16	71.25
9712.0	66.11	65.15	71.30
9714.0	66.11	65.14	71.35
9716.0	66.11	65.13	71.39
9718.0	66.10	65.12	71.42
9720.0	66.10	65.12	71.45
9722.0	66.11	65.11	71.70
9724.0	66.12	65.10	72.01
9726.0	66.15	65.10	72.34
9728.0	66.18	65.10	72.67
9730.0	66.21	65.10	72.99
9732.0	66.25	65.10	73.29
9734.0	66.29	65.10	73.56
9736.0	66.33	65.11	73.80
9738.0	66.36	65.12	74.02
9740.0	66.40	65.13	74.20
9742.0	66.43	65.15	74.37
9744.0	66.47	65.16	74.51
9746.0	66.50	65.18	74.64
9748.0	66.53	65.20	74.75
9750.0	66.56	65.22	74.85
9752.0	66.57	65.24	74.48
9754.0	66.57	65.26	74.07
9756.0	66.55	65.29	73.66
9758.0	66.52	65.30	73.27
9760.0	66.49	65.32	72.91
9762.0	66.46	65.34	72.58
9764.0	66.43	65.35	72.29
9766.0	66.40	65.35	72.03
9768.0	66.37	65.36	71.81
9770.0	66.35	65.36	71.62
9772.0	66.32	65.35	71.45
9774.0	66.30	65.35	71.30
9776.0	66.28	65.34	71.18
9778.0	66.26	65.34	71.07
9780.0	66.24	65.33	70.97
9782.0	66.22	65.32	70.91
9784.0	66.20	65.31	70.78
9786.0	66.18	65.29	70.62
9788.0	66.15	65.28	70.45
9790.0	66.12	65.27	70.27
9792.0	66.09	65.25	70.09
9794.0	66.06	65.24	69.93
9796.0	66.02	65.22	69.77
9798.0	65.99	65.20	69.63
9800.0	65.96	65.18	69.49
9802.0	65.92	65.16	69.37
9804.0	65.89	65.14	69.26
9806.0	65.86	65.12	69.16
9808.0	65.82	65.09	69.07
9810.0	65.79	65.07	68.98
9812.0	65.78	65.04	69.63
9814.0	65.81	65.02	70.49
9816.0	65.87	64.99	71.48
9818.0	65.96	64.97	72.51
9820.0	66.06	64.96	73.53
9822.0	66.17	64.95	74.48
9824.0	66.29	64.96	75.35
9826.0	66.40	64.97	76.12
9828.0	66.50	64.99	76.80
9830.0	66.60	65.01	77.39
9832.0	66.70	65.05	77.91
9834.0	66.79	65.09	78.36
9836.0	66.88	65.13	78.75
9838.0	66.97	65.18	79.09
9840.0	67.05	65.24	79.38
9842.0	67.12	65.30	79.19
9844.0	67.16	65.35	78.91
9846.0	67.19	65.41	78.61
9848.0	67.21	65.47	78.31
9850.0	67.22	65.53	78.04
9852.0	67.24	65.59	77.80
9854.0	67.25	65.64	77.59
9856.0	67.27	65.69	77.41
9858.0	67.29	65.73	77.27
9860.0	67.31	65.78	77.15
9862.0	67.33	65.82	77.05
9864.0	67.36	65.86	76.97
9866.0	67.38	65.90	76.91
9868.0	67.41	65.93	76.86
9870.0	67.44	65.97	76.83
9872.0	67.47	66.00	77.01
9874.0	67.51	66.03	77.17
9876.0	67.56	66.07	77.32
9878.0	67.61	66.10	77.45
9880.0	67.66	66.14	77.56
9882.0	67.70	66.17	77.67
9884.0	67.75	66.21	77.76
9886.0	67.79	66.24	77.85
9888.0	67.83	66.28	77.93
9890.0	67.88	66.32	78.00
9892.0	67.92	66.36	78.07
9894.0	67.96	66.40	78.13
9896.0	68.00	66.43	78.19
9898.0	68.05	66.47	78.25
9900.0	68.09	66.51	78.30
9902.0	68.11	66.55	77.50
9904.0	68.08	66.59	76.51
9906.0	68.02	66.63	75.50
9908.0	67.94	66.66	74.53
9910.0	67.85	66.68	73.62
9912.0	67.76	66.70	72.80
9914.0	67.67	66.71	72.07
9916.0	67.58	66.71	71.41
9918.0	67.50	66.70	70.83
9920.0	67.42	66.69	70.32
9922.0	67.34	66.67	69.86
9924.0	67.27	66.64	69.47
9926.0	67.20	66.61	69.11
9928.0	67.13	66.58	68.80
9930.0	67.06	66.54	68.53
9932.0	67.01	66.50	68.59
9934.0	66.97	66.45	68.72
9936.0	66.94	66.41	68.92
9938.0	66.93	66.36	69.17
9940.0	66.92	66.32	69.47
9942.0	66.92	66.28	69.78
9944.0	66.92	66.24	70.11
9946.0	66.93	66.20	70.42
9948.0	66.93	66.17	70.72
9950.0	66.94	66.14	70.99
9952.0	66.95	66.11	71.24
9954.0	66.96	66.09	71.45
9956.0	66.96	66.07	71.65
9958.0	66.97	66.05	71.81
9960.0	66.97	66.03	71.96
9962.0	66.98	66.02	72.16
9964.0	66.99	66.01	72.34
9966.0	66.99	66.00	72.48
9968.0	67.00	65.99	72.61
9970.0	67.01	65.98	72.71
9972.0	67.02	65.97	72.79
9974.0	67.02	65.97	72.87
9976.0	67.03	65.97	72.93
9978.0	67.03	65.96	72.98
9980.0	67.03	65.96	73.02
9982.0	67.04	65.96	73.06
9984.0	67.04	65.96	73.09
9986.0	67.04	65.96	73.11
9988.0	67.04	65.96	73.14
9990.0	67.05	65.96	73.15
9992.0	67.04	65.96	72.76
9994.0	67.00	65.96	72.29
9996.0	66.96	65.96	71.79
9998.0	66.90	65.96	71.30
10000.0	66.84	65.95	70.83
10002.0	66.77	65.94	70.40
10004.0	66.71	65.93	70.01
10006.0	66.65	65.91	69.65
10008.0	66.58	65.89	69.32
10010.0	66.52	65.86	69.03
10012.0	66.47	65.83	68.76
10014.0	66.41	65.80	68.53
10016.0	66.35	65.77	68.31
10018.0	66.30	65.73	68.12
10020.0	66.24	65.69	67.94
10022.0	66.19	65.65	67.77
10024.0	66.13	65.61	67.61
10026.0	66.08	65.57	67.47
10028.0	66.03	65.53	67.34
10030.0	65.97	65.48	67.23
10032.0	65.92	65.44	67.13
10034.0	65.87	65.39	67.03
10036.0	65.82	65.34	66.94
10038.0	65.77	65.30	66.86
10040.0	65.72	65.25	66.79
10042.0	65.66	65.20	66.71
10044.0	65.61	65.15	66.65
10046.0	65.56	65.11	66.58
10048.0	65.51	65.06	66.52
10050.0	65.46	65.01	66.46
10052.0	65.42	64.96	66.72
10054.0	65.40	64.91	67.04
10056.0	65.39	64.87	67.39
10058.0	65.39	64.82	67.77
10060.0	65.39	64.78	68.16
10062.0	65.40	64.74	68.54
10064.0	65.42	64.70	68.90
10066.0	65.43	64.67	69.24
10068.0	65.44	64.64	69.56
10070.0	65.46	64.62	69.83
10072.0	65.47	64.60	70.08
10074.0	65.48	64.58	70.30
10076.0	65.49	64.56	70.48
10078.0	65.50	64.55	70.64
10080.0	65.51	64.54	70.78
10082.0	65.51	64.53	70.86
10084.0	65.52	64.52	70.91
10086.0	65.52	64.52	70.94
10088.0	65.51	64.51	70.96
10090.0	65.51	64.51	70.96
10092.0	65.51	64.51	70.96
10094.0	65.50	64.50	70.96
10096.0	65.50	64.50	70.95
10098.0	65.49	64.50	70.94
10100.0	65.49	64.49	70.94
10102.0	65.49	64.49	70.93
10104.0	65.48	64.49	70.92
10106.0	65.48	64.48	70.91
10108.0	65.47	64.48	70.91
10110.0	65.47	64.48	70.90
10112.0	65.46	64.47	70.81
10114.0	65.45	64.47	70.72
10116.0	65.44	64.47	70.63
10118.0	65.42	64.46	70.55
10120.0	65.41	64.46	70.48
10122.0	65.40	64.45	70.41
10124.0	65.38	64.44	70.35
10126.0	65.37	64.44	70.30
10128.0	65.36	64.43	70.26
10130.0	65.35	64.42	70.21
10132.0	65.33	64.41	70.18
10134.0	65.32	64.40	70.14
10136.0	65.31	64.39	70.11
10138.0	65.30	64.39	70.09
10140.0	65.29	64.38	70.06
10142.0	65.28	64.37	70.15
10144.0	65.28	64.36	70.24
10146.0	65.28	64.35	70.33
10148.0	65.28	64.34	70.42
10150.0	65.28	64.33	70.50
10152.0	65.29	64.32	70.57
10154.0	65.29	64.32	70.64
10156.0	65.29	64.31	70.69
10158.0	65.29	64.30	70.74
10160.0	65.29	64.30	70.79
10162.0	65.30	64.30	70.82
10164.0	65.30	64.29	70.85
10166.0	65.30	64.29	70.88
10168.0	65.30	64.29	70.90
10170.0	65.30	64.28	70.92
10172.0	65.30	64.28	71.18
10174.0	65.32	64.28	71.48
10176.0	65.35	64.28	71.79
10178.0	65.39	64.28	72.09
10180.0	65.42	64.29	72.37
10182.0	65.46	64.29	72.63
10184.0	65.50	64.30	72.86
10186.0	65.53	64.31	73.06
10188.0	65.57	64.32	73.25
10190.0	65.60	64.34	73.41
10192.0	65.63	64.35	73.55
10194.0	65.66	64.37	73.67
10196.0	65.69	64.39	73.78
10198.0	65.72	64.41	73.88
10200.0	65.75	64.43	73.96
10202.0	65.78	64.45	73.92
10204.0	65.79	64.47	73.80
10206.0	65.80	64.50	73.65
10208.0	65.81	64.52	73.50
10210.0	65.81	64.54	73.34
10212.0	65.81	64.56	73.19
10214.0	65.81	64.58	73.06
10216.0	65.81	64.60	72.94
10218.0	65.81	64.61	72.84
10220.0	65.81	64.63	72.75
10222.0	65.81	64.64	72.67
10224.0	65.81	64.65	72.60
10226.0	65.82	64.67	72.55
10228.0	65.82	64.68	72.50
10230.0	65.82	64.69	72.46
10232.0	65.81	64.69	71.91
10234.0	65.78	64.70	71.27
10236.0	65.72	64.71	70.63
10238.0	65.65	64.71	70.01
10240.0	65.58	64.71	69.43
10242.0	65.50	64.70	68.90
10244.0	65.43	64.69	68.42
10246.0	65.36	64.67	67.99
10248.0	65.29	64.65	67.60
10250.0	65.22	64.62	67.26
10252.0	65.16	64.59	66.95
10254.0	65.09	64.56	66.68
10256.0	65.03	64.52	66.44
10258.0	64.97	64.48	66.23
10260.0	64.91	64.44	66.04
10262.0	64.85	64.40	65.86
10264.0	64.80	64.35	65.74
10266.0	64.74	64.31	65.62
10268.0	64.69	64.26	65.52
10270.0	64.63	64.21	65.43
10272.0	64.58	64.16	65.34
10274.0	64.53	64.11	65.26
10276.0	64.48	64.06	65.19
10278.0	64.43	64.01	65.12
10280.0	64.37	63.96	65.05
10282.0	64.32	63.91	64.99
10284.0	64.27	63.86	64.92
10286.0	64.22	63.81	64.86
10288.0	64.17	63.76	64.80
10290.0	64.12	63.71	64.74
10292.0	64.09	63.66	65.43
10294.0	64.10	63.61	66.15
10296.0	64.13	63.57	66.96
10298.0	64.18	63.53	67.87
10300.0	64.25	63.49	68.84
10302.0	64.33	63.46	69.81
10304.0	64.42	63.44	70.75
10306.0	64.51	63.42	71.63
10308.0	64.61	63.42	72.42
10310.0	64.70	63.42	73.13
10312.0	64.79	63.43	73.76
10314.0	64.87	63.45	74.31
10316.0	64.96	63.47	74.78
10318.0	65.03	63.50	75.20
10320.0	65.11	63.54	75.56
10322.0	65.17	63.58	75.55
10324.0	65.22	63.62	75.47
10326.0	65.25	63.66	75.37
10328.0	65.28	63.71	75.25
10330.0	65.30	63.75	75.14
10332.0	65.32	63.80	75.03
10334.0	65.35	63.84	74.94
10336.0	65.37	63.88	74.87
10338.0	65.39	63.92	74.81
10340.0	65.42	63.96	74.76
10342.0	65.45	64.00	74.72
10344.0	65.48	64.04	74.69
10346.0	65.50	64.07	74.68
10348.0	65.53	64.11	74.67
10350.0	65.56	64.14	74.66
10352.0	65.57	64.17	73.95
10354.0	65.55	64.20	73.09
10356.0	65.49	64.23	72.21
10358.0	65.42	64.26	71.35
10360.0	65.34	64.28	70.56
10362.0	65.26	64.29	69.84
10364.0	65.18	64.29	69.18
10366.0	65.10	64.29	68.60
10368.0	65.02	64.28	68.09
10370.0	64.95	64.27	67.63
10372.0	64.88	64.25	67.23
10374.0	64.81	64.22	66.87
10376.0	64.75	64.19	66.55
10378.0	64.69	64.16	66.28
10380.0	64.63	64.12	66.03
10382.0	64.57	64.08	65.78
10384.0	64.51	64.04	65.57
10386.0	64.45	64.00	65.37
10388.0	64.39	63.96	65.20
10390.0	64.33	63.91	65.05
10392.0	64.27	63.86	64.91
10394.0	64.21	63.81	64.79
10396.0	64.15	63.76	64.68
10398.0	64.10	63.71	64.57
10400.0	64.04	63.66	64.48
10402.0	63.99	63.61	64.39
10404.0	63.93	63.56	64.30
10406.0	63.88	63.51	64.23
