Roll	Vel	Angle
0.410000	0.000000	-0.000000
0.410000	0.000000	-0.000000
0.410000	0.000000	-0.000000
0.410000	0.000000	-0.000000
0.410000	0.000000	-0.000000
0.410000	0.000000	0.100000
0.410000	0.000000	0.200000
0.410000	0.000000	0.300000
0.410000	0.000000	0.300000
0.410000	0.000000	0.400000
0.410000	0.000000	0.200000
0.410000	0.000000	0.200000
0.410000	0.000000	1.000000
0.410000	0.000000	1.400000
0.410000	0.000000	1.200000
0.410000	0.000000	1.000000
0.410000	0.000000	1.100000
0.410000	0.000000	0.900000
0.410000	0.000000	1.000000
0.410000	0.000000	1.200000
0.410000	0.000000	1.100000
0.400000	0.000000	0.500000
0.400000	0.255558	0.700000
0.400000	0.305558	0.700000
0.410000	0.363892	0.800000
0.410000	0.400003	0.800000
0.420000	0.452781	0.800000
0.430000	0.486115	0.700000
0.430000	0.536115	0.800000
0.430000	0.569449	1.000000
0.420000	0.625005	1.000000
0.420000	0.663894	0.800000
0.420000	0.716672	0.700000
0.410000	0.752784	1.000000
0.410000	0.808340	0.900000
0.400000	0.847229	0.800000
0.410000	0.900007	0.900000
0.410000	0.938896	1.200000
0.410000	0.997230	1.300000
0.410000	1.033342	1.300000
0.410000	1.088898	1.700000
0.410000	1.127787	1.600000
0.410000	1.180565	1.600000
0.420000	1.222232	1.600000
0.420000	1.294455	1.100000
0.430000	1.350011	1.300000
0.430000	1.433345	1.600000
0.440000	1.497234	1.000000
0.440000	1.602791	0.700000
0.450000	1.677791	1.000000
0.460000	1.800014	1.400000
0.460000	1.888904	1.500000
0.450000	2.030572	1.100000
0.450000	2.127795	0.900000
0.440000	2.283352	0.400000
0.440000	2.391686	0.100000
0.440000	2.502798	0.200000
0.440000	2.666688	-0.300000
0.440000	2.772244	-0.600000
0.440000	2.938912	-0.600000
0.440000	3.052802	-1.000000
0.450000	3.227804	-1.100000
0.450000	3.341693	-0.700000
0.450000	3.511139	-1.000000
0.460000	3.619473	-0.900000
0.460000	3.788919	-0.800000
0.450000	3.902809	-1.000000
0.430000	4.069477	-1.700000
0.420000	4.180589	-2.800000
0.420000	4.330590	-2.800000
0.420000	4.427813	-2.500000
0.420000	4.575037	-3.100000
0.420000	4.666704	-3.200000
0.410000	4.811150	-3.200000
0.420000	4.902817	-3.100000
0.410000	5.041707	-3.500000
0.400000	5.127819	-3.500000
0.400000	5.255598	-3.800000
0.410000	5.325043	-3.600000
0.420000	5.436155	-3.200000
0.440000	5.508377	-3.400000
0.450000	5.619489	-3.700000
0.460000	5.688934	-3.500000
0.440000	5.797269	-3.000000
0.420000	5.869491	-3.300000
0.410000	5.958381	-3.500000
0.390000	6.016715	-3.500000
0.390000	6.102827	-3.600000
0.410000	6.166716	-3.500000
0.420000	6.255606	-3.400000
0.430000	6.316717	-3.600000
0.450000	6.400051	-3.500000
0.460000	6.447274	-3.600000
0.450000	6.519497	-3.500000
0.460000	6.569497	-3.500000
0.470000	6.647275	-3.400000
0.450000	6.700054	-3.400000
0.410000	6.775054	-2.400000
0.390000	6.813943	-2.500000
0.390000	6.877833	-3.100000
0.400000	6.919500	-2.900000
0.410000	6.986167	-2.300000
0.400000	7.050056	-2.400000
0.400000	7.108390	-2.300000
0.390000	7.133390	-2.400000
0.370000	7.183391	-3.000000
0.380000	7.233391	-3.100000
0.390000	7.291725	-2.800000
0.360000	7.333392	-3.300000
0.340000	7.380615	-2.700000
0.320000	7.408393	-2.500000
0.300000	7.458393	-2.600000
0.290000	7.494504	-2.300000
0.260000	7.552838	-2.200000
0.240000	7.586172	-2.100000
0.220000	7.625061	-1.900000
0.210000	7.647283	-2.000000
0.220000	7.691728	-1.300000
0.240000	7.727840	-1.000000
0.230000	7.772284	-1.400000
0.220000	7.794507	-1.400000
0.210000	7.827840	-1.400000
0.230000	7.852841	-0.800000
0.260000	7.900063	-0.100000
0.270000	7.927841	-0.300000
0.290000	7.961175	-0.400000
0.320000	7.980619	-0.400000
0.350000	8.019509	-0.200000
0.360000	8.047287	-0.100000
0.350000	8.088954	-0.700000
0.370000	8.113954	-1.000000
0.390000	8.144510	-0.900000
0.410000	8.163954	-0.900000
0.450000	8.200066	-1.000000
0.460000	8.227844	-1.000000
0.460000	8.258399	-1.000000
0.460000	8.275066	-0.800000
0.470000	8.308400	-0.800000
0.470000	8.333400	-1.100000
0.440000	8.369511	-1.200000
0.420000	8.391734	-1.200000
0.420000	8.413956	-1.000000
0.430000	8.433401	-0.900000
0.440000	8.472290	-0.700000
0.410000	8.494512	-1.100000
0.380000	8.516735	-1.300000
0.350000	8.533402	-1.100000
0.340000	8.558402	-0.000000
0.340000	8.580624	0.300000
0.290000	8.605624	0.500000
0.250000	8.613958	1.000000
0.230000	8.633402	1.600000
0.210000	8.652847	1.500000
0.190000	8.683403	1.800000
0.160000	8.702847	1.700000
0.130000	8.719514	1.700000
0.110000	8.733403	1.700000
0.120000	8.761181	1.100000
0.120000	8.783404	1.400000
0.120000	8.800070	0.700000
0.100000	8.808404	0.800000
0.080000	8.830626	0.300000
0.080000	8.850071	-0.000000
0.070000	8.875071	0.200000
0.070000	8.883404	0.200000
0.090000	8.900071	-0.700000
0.110000	8.913960	-1.300000
0.130000	8.938960	-1.400000
0.120000	8.952849	-1.600000
0.120000	8.963961	-1.400000
0.120000	8.975072	-1.500000
0.140000	9.002850	-1.700000
0.140000	9.016739	-1.400000
0.110000	9.030628	-1.600000
0.110000	9.038961	-2.100000
0.120000	9.055628	-3.300000
0.160000	9.075073	-3.800000
0.180000	9.091739	-4.500000
0.200000	9.094517	-5.100000
0.220000	9.108406	-5.600000
0.250000	9.122295	-5.500000
0.280000	9.147295	-5.100000
0.300000	9.155629	-4.900000
0.340000	9.161184	-4.700000
0.370000	9.175073	-1.700000
0.370000	9.194518	1.300000
0.290000	9.211185	7.000000
0.210000	9.216740	9.100000
0.160000	9.222296	9.400000
0.140000	9.236185	8.600000
0.150000	9.263963	8.100000
0.160000	9.272296	7.200000
0.190000	9.280630	4.000000
0.250000	9.291741	1.000000
0.350000	9.313963	-3.100000
0.430000	9.330630	-4.100000
0.460000	9.338964	-5.200000
0.480000	9.347297	-7.700000
0.510000	9.369519	-14.500000
0.550000	9.391742	-18.600000
0.600000	9.402853	-19.500000
0.620000	9.411186	-17.700000
0.580000	9.433409	-11.900000
0.490000	9.450076	-5.600000
0.330000	9.461187	4.200000
0.150000	9.461187	8.800000
-0.030000	9.472298	12.700000
-0.170000	9.483409	13.500000
-0.240000	9.500076	13.500000
-0.240000	9.500076	12.300000
-0.200000	9.508409	10.100000
-0.090000	9.519521	8.000000
0.020000	9.544521	4.200000
0.120000	9.547299	3.000000
0.190000	9.552854	2.500000
0.230000	9.563965	1.800000
0.230000	9.586188	1.500000
0.200000	9.594521	1.600000
0.180000	9.597299	1.400000
0.160000	9.605632	1.000000
0.150000	9.625077	0.500000
0.150000	9.638966	0.300000
0.160000	9.636188	-0.000000
0.180000	9.641744	0.100000
0.210000	9.658411	0.200000
0.220000	9.672300	-0.000000
0.230000	9.677855	-0.100000
0.220000	9.680633	-0.000000
0.200000	9.697300	-0.400000
0.170000	9.716744	-0.700000
0.170000	9.716744	-0.800000
0.180000	9.716744	-0.700000
0.190000	9.730633	-0.500000
0.180000	9.741745	-0.500000
0.140000	9.752856	-1.000000
0.120000	9.747300	-1.100000
0.130000	9.758411	-1.100000
0.130000	9.772300	-1.100000
0.120000	9.780634	-1.100000
0.130000	9.777856	-1.100000
0.140000	9.786189	-1.000000
0.130000	9.802856	-0.500000
0.100000	9.813967	-0.000000
0.090000	9.811190	-0.200000
0.080000	9.816745	-0.400000
0.060000	9.830634	-0.500000
0.040000	9.847301	-1.200000
0.010000	9.847301	-1.300000
0.020000	9.852857	-1.100000
0.030000	9.863968	-1.100000
0.010000	9.875079	-1.600000
-0.020000	9.872301	-1.700000
-0.040000	9.875079	-1.300000
-0.030000	9.880635	-1.700000
-0.030000	9.900079	-1.900000
-0.030000	9.897301	-1.700000
-0.030000	9.902857	-1.500000
-0.010000	9.911190	-1.400000
0.030000	9.927857	-0.900000
0.030000	9.930635	-0.800000
0.010000	9.927857	-0.700000
0.000000	9.933413	-0.300000
-0.020000	9.950080	-0.300000
-0.030000	9.958413	-0.300000
-0.040000	9.958413	-0.300000
-0.030000	9.963969	-0.200000
-0.010000	9.980635	-0.000000
-0.010000	9.991747	0.400000
0.000000	9.986191	-0.000000
0.030000	9.988969	-0.200000
0.080000	10.002858	-0.000000
0.140000	10.008413	-0.000000
0.200000	10.005636	0.200000
0.270000	10.005636	0.600000
0.320000	10.025080	0.500000
0.350000	10.030636	0.300000
0.370000	10.030636	0.300000
0.370000	10.036191	0.300000
0.400000	10.052858	-0.100000
0.390000	10.061192	-0.000000
0.370000	10.058414	-0.000000
0.330000	10.061192	-0.000000
0.280000	10.072303	0.100000
0.230000	10.086192	0.100000
0.180000	10.083414	-0.400000
0.150000	10.088970	-0.600000
0.120000	10.102859	0.300000
0.090000	10.113970	0.300000
0.070000	10.111192	0.500000
0.070000	10.111192	0.400000
0.080000	10.119525	0.600000
0.070000	10.130637	0.600000
0.050000	10.125081	0.700000
0.060000	10.122303	0.700000
0.070000	10.138970	1.200000
0.110000	10.152859	1.300000
0.130000	10.155637	1.400000
0.130000	10.155637	1.300000
0.140000	10.166748	1.000000
0.130000	10.175081	1.000000
0.130000	10.180637	1.300000
0.150000	10.175081	2.000000
0.160000	10.180637	2.100000
0.150000	10.197304	2.100000
0.130000	10.205637	2.100000
0.150000	10.200082	2.700000
0.150000	10.202859	3.500000
0.150000	10.216748	3.500000
0.120000	10.222304	3.400000
0.120000	10.219526	3.400000
0.150000	10.222304	3.300000
0.160000	10.236193	2.200000
0.160000	10.244526	1.700000
0.180000	10.241749	1.200000
0.210000	10.244526	1.100000
0.220000	10.258415	0.700000
0.210000	10.263971	0.300000
0.220000	10.266749	0.900000
0.220000	10.269527	0.600000
0.230000	10.286193	0.400000
0.220000	10.297305	0.200000
0.230000	10.294527	1.300000
0.230000	10.297305	1.200000
0.220000	10.316749	1.200000
0.200000	10.322305	1.600000
0.180000	10.325083	2.500000
0.170000	10.325083	2.400000
0.180000	10.338972	2.900000
0.190000	10.344527	3.400000
0.190000	10.336194	3.300000
0.220000	10.344527	2.900000
0.230000	10.355638	2.600000
0.210000	10.366750	2.400000
0.190000	10.361194	2.100000
0.210000	10.361194	1.800000
0.280000	10.372305	2.400000
0.340000	10.375083	2.800000
0.370000	10.369527	2.500000
0.400000	10.369527	2.100000
0.430000	10.375083	2.100000
0.480000	10.366750	2.700000
0.500000	10.355638	2.500000
0.570000	10.358416	2.100000
0.640000	10.375083	2.100000
0.700000	10.380639	2.300000
0.730000	10.383416	2.500000
0.750000	10.391750	2.400000
0.760000	10.413972	2.800000
0.770000	10.416750	2.800000
0.780000	10.416750	3.300000
0.790000	10.422306	3.800000
0.810000	10.433417	3.700000
0.840000	10.436195	3.800000
0.880000	10.430639	3.900000
0.910000	10.433417	4.000000
0.950000	10.447306	4.200000
1.040000	10.444528	4.500000
1.140000	10.444528	4.600000
1.210000	10.452861	4.800000
1.210000	10.466750	5.000000
1.230000	10.466750	5.200000
1.280000	10.466750	5.500000
1.330000	10.477862	5.200000
1.340000	10.497306	5.400000
1.350000	10.488973	5.700000
1.370000	10.483417	5.900000
1.370000	10.483417	6.600000
1.300000	10.486195	7.900000
1.270000	10.483417	8.400000
1.310000	10.480639	8.600000
1.460000	10.488973	9.100000
1.610000	10.505640	9.900000
1.700000	10.505640	10.200000
1.800000	10.497306	10.200000
1.950000	10.502862	10.100000
2.120000	10.491751	10.200000
2.220000	10.475084	10.400000
2.280000	10.469528	10.500000
2.320000	10.469528	10.400000
2.360000	10.472306	10.300000
2.370000	10.466750	10.300000
2.340000	10.463973	10.400000
2.270000	10.475084	10.700000
2.220000	10.483417	11.000000
2.190000	10.488973	10.800000
2.170000	10.486195	11.500000
2.140000	10.488973	11.600000
2.140000	10.494528	11.600000
2.160000	10.486195	11.700000
2.170000	10.477862	12.000000
2.190000	10.483417	12.100000
2.200000	10.483417	12.200000
2.230000	10.480639	12.600000
2.280000	10.480639	13.600000
2.270000	10.494528	13.800000
2.220000	10.491751	13.900000
2.160000	10.486195	14.200000
2.140000	10.491751	15.200000
2.120000	10.502862	15.400000
2.100000	10.497306	15.000000
2.050000	10.500084	15.700000
2.030000	10.500084	15.900000
2.000000	10.505640	16.000000
1.960000	10.500084	16.300000
1.910000	10.497306	16.600000
1.890000	10.486195	17.200000
1.870000	10.475084	17.700000
1.840000	10.463973	18.300000
1.780000	10.455639	19.000000
1.760000	10.441750	20.300000
1.750000	10.444528	20.200000
1.770000	10.433417	20.000000
1.800000	10.433417	20.000000
1.830000	10.433417	19.900000
1.890000	10.441750	19.400000
1.980000	10.430639	18.900000
2.070000	10.425083	18.500000
2.160000	10.430639	17.500000
2.230000	10.433417	17.200000
2.310000	10.419528	17.300000
2.380000	10.416750	17.500000
2.440000	10.419528	16.900000
2.510000	10.433417	17.300000
2.540000	10.430639	17.500000
2.580000	10.427861	17.900000
2.590000	10.425083	18.200000
2.560000	10.433417	18.300000
2.540000	10.433417	18.900000
2.540000	10.427861	19.900000
2.560000	10.433417	20.100000
2.570000	10.455639	21.200000
2.580000	10.452861	22.100000
2.590000	10.461195	23.700000
2.600000	10.461195	24.000000
2.620000	10.475084	24.200000
2.650000	10.475084	24.700000
2.670000	10.475084	26.600000
2.690000	10.480639	27.600000
2.700000	10.488973	27.500000
2.700000	10.486195	28.000000
2.720000	10.475084	27.600000
2.740000	10.480639	27.300000
2.760000	10.486195	27.300000
2.760000	10.483417	27.400000
2.780000	10.480639	26.200000
2.770000	10.488973	25.500000
2.770000	10.500084	25.200000
2.780000	10.497306	24.700000
2.810000	10.494528	24.600000
2.840000	10.497306	24.000000
2.850000	10.500084	24.200000
2.850000	10.497306	24.000000
2.850000	10.486195	23.700000
2.850000	10.491751	23.800000
2.870000	10.497306	24.500000
2.840000	10.486195	24.900000
2.820000	10.475084	25.200000
2.780000	10.477862	25.800000
2.710000	10.475084	26.400000
2.650000	10.466750	26.500000
2.600000	10.450084	27.200000
2.540000	10.455639	28.200000
2.490000	10.455639	30.000000
2.430000	10.452861	30.500000
2.380000	10.452861	30.800000
2.340000	10.461195	30.800000
2.290000	10.472306	30.800000
2.250000	10.469528	30.800000
2.280000	10.469528	30.800000
2.330000	10.477862	30.900000
2.360000	10.483417	31.000000
2.380000	10.477862	31.100000
2.400000	10.475084	31.600000
2.400000	10.480639	31.800000
2.390000	10.480639	31.700000
2.360000	10.475084	31.500000
2.380000	10.472306	31.800000
2.390000	10.483417	31.900000
2.370000	10.477862	30.800000
2.350000	10.475084	29.700000
2.360000	10.477862	29.700000
2.370000	10.491751	29.500000
2.390000	10.497306	28.300000
2.380000	10.491751	27.600000
2.400000	10.497306	27.800000
2.400000	10.505640	27.200000
2.380000	10.500084	26.200000
2.360000	10.488973	26.400000
2.330000	10.488973	27.600000
2.300000	10.491751	28.200000
2.250000	10.486195	27.700000
2.220000	10.475084	28.500000
2.210000	10.477862	29.700000
2.200000	10.480639	30.600000
2.170000	10.475084	31.100000
2.190000	10.469528	31.300000
2.220000	10.486195	32.100000
2.180000	10.477862	32.200000
2.130000	10.463973	31.300000
2.120000	10.455639	31.500000
2.140000	10.452861	31.100000
2.140000	10.450084	30.500000
2.070000	10.450084	29.800000
2.000000	10.436195	29.500000
1.950000	10.444528	28.900000
1.910000	10.452861	28.100000
1.860000	10.461195	26.600000
1.820000	10.452861	25.700000
1.810000	10.458417	25.300000
1.790000	10.461195	24.900000
1.740000	10.452861	25.000000
1.710000	10.444528	25.700000
1.700000	10.447306	25.700000
1.680000	10.450084	25.500000
1.650000	10.444528	25.900000
1.610000	10.441750	26.500000
1.580000	10.441750	26.400000
1.550000	10.444528	26.400000
1.520000	10.436195	26.600000
1.510000	10.430639	26.900000
1.520000	10.430639	26.700000
1.530000	10.436195	26.700000
1.520000	10.438972	27.600000
1.520000	10.436195	28.000000
1.510000	10.447306	28.000000
1.500000	10.452861	28.300000
1.500000	10.455639	29.000000
1.510000	10.452861	29.200000
1.530000	10.452861	29.500000
1.520000	10.461195	29.600000
1.500000	10.455639	29.300000
1.510000	10.444528	28.900000
1.560000	10.441750	28.600000
1.590000	10.444528	27.600000
1.600000	10.441750	26.000000
1.650000	10.433417	24.800000
1.720000	10.438972	23.200000
1.760000	10.444528	22.400000
1.760000	10.441750	22.400000
1.750000	10.438972	22.000000
1.750000	10.441750	21.300000
1.740000	10.452861	22.200000
1.730000	10.447306	22.100000
1.720000	10.441750	21.700000
1.700000	10.447306	21.200000
1.660000	10.455639	21.500000
1.610000	10.447306	21.300000
1.590000	10.438972	20.700000
1.610000	10.436195	20.800000
1.600000	10.444528	20.900000
1.610000	10.438972	20.800000
1.590000	10.436195	19.700000
1.600000	10.436195	19.200000
1.560000	10.450084	19.600000
1.530000	10.444528	18.400000
1.540000	10.436195	18.400000
1.570000	10.433417	18.600000
1.540000	10.441750	18.000000
1.510000	10.436195	17.200000
